"Total New Zealand by kill by animal type (Qrtly-Mar/Jun/Sep/Dec)","",""
"","Total New Zealand",""
" ","Number","Weight"
" ","Total Kill","Total Kill"
" ","Total Above Livestock Excluding Game","Total Above Livestock Excluding Game"
"1981Q4",8510478,".."
"1982Q1",16433301,".."
"1982Q2",16102463,".."
"1982Q3",4084704,".."
"1982Q4",9757384,".."
"1983Q1",19867126,".."
"1983Q2",15405397,".."
"1983Q3",4082657,".."
"1983Q4",8609831,".."
"1984Q1",19907959,".."
"1984Q2",14674063,".."
"1984Q3",3832621,".."
"1984Q4",10626068,".."
"1985Q1",21066886,".."
"1985Q2",17695276,".."
"1985Q3",5019071,".."
"1985Q4",6950826,".."
"1986Q1",9847123,".."
"1986Q2",20472499,".."
"1986Q3",7800416,".."
"1986Q4",9208679,".."
"1987Q1",16341842,".."
"1987Q2",14448739,".."
"1987Q3",4882928,".."
"1987Q4",8729121,".."
"1988Q1",14043218,".."
"1988Q2",14465680,".."
"1988Q3",5105124,".."
"1988Q4",10210902,".."
"1989Q1",14912199,".."
"1989Q2",14182083,".."
"1989Q3",4921824,".."
"1989Q4",6700891,".."
"1990Q1",13938896,".."
"1990Q2",11920211,".."
"1990Q3",3845503,".."
"1990Q4",8291343,".."
"1991Q1",13405419,".."
"1991Q2",11782979,".."
"1991Q3",4940194,".."
"1991Q4",8309420,".."
"1992Q1",15090411,".."
"1992Q2",12944544,".."
"1992Q3",3498121,".."
"1992Q4",5499509,".."
"1993Q1",14085600,".."
"1993Q2",10718444,".."
"1993Q3",3842754,".."
"1993Q4",6846069,".."
"1994Q1",13059542,".."
"1994Q2",12190299,".."
"1994Q3",3873275,".."
"1994Q4",6912542,".."
"1995Q1",14808914,".."
"1995Q2",12036940,".."
"1995Q3",4563837,".."
"1995Q4",6699317,".."
"1996Q1",13784942,".."
"1996Q2",10781743,".."
"1996Q3",4627751,".."
"1996Q4",7657945,".."
"1997Q1",13426147,".."
"1997Q2",11045397,".."
"1997Q3",4732086,".."
"1997Q4",8365774,".."
"1998Q1",14835324,".."
"1998Q2",9901125,".."
"1998Q3",4619773,".."
"1998Q4",7461425,".."
"1999Q1",14163607,".."
"1999Q2",7976710,".."
"1999Q3",5597806,".."
"1999Q4",7101052,".."
"2000Q1",13689885,".."
"2000Q2",8970445,".."
"2000Q3",4996264,".."
"2000Q4",7562514,".."
"2001Q1",13992212,".."
"2001Q2",9826462,".."
"2001Q3",4612039,".."
"2001Q4",7057000,".."
"2002Q1",12364501,".."
"2002Q2",9518342,".."
"2002Q3",4780505,".."
"2002Q4",7475411,".."
"2003Q1",14241540,".."
"2003Q2",8840834,".."
"2003Q3",4983476,".."
"2003Q4",7579825,".."
"2004Q1",12704485,".."
"2004Q2",8205814,".."
"2004Q3",4845070,".."
"2004Q4",7502692,".."
"2005Q1",12595329,".."
"2005Q2",8788397,".."
"2005Q3",5177678,".."
"2005Q4",7529809,".."
"2006Q1",12277196,".."
"2006Q2",9404586,".."
"2006Q3",5466784,".."
"2006Q4",8480070,".."
"2007Q1",13580470,".."
"2007Q2",9379662,".."
"2007Q3",5118006,".."
"2007Q4",8628906,".."
"2008Q1",13552846,".."
"2008Q2",10976279,".."
"2008Q3",5298333,".."
"2008Q4",8700964,".."
"2009Q1",10834143,".."
"2009Q2",7655709,".."
"2009Q3",4445519,".."
"2009Q4",7363060,".."
"2010Q1",11169291,".."
"2010Q2",7059125,".."
"2010Q3",4482055,".."
"2010Q4",7293634,".."
"2011Q1",9963768,".."
"2011Q2",6866343,".."
"2011Q3",5016842,".."
"2011Q4",5895203,".."
"2012Q1",9809402,".."
"2012Q2",7378004,".."
"2012Q3",4603903,".."
"2012Q4",6700835,".."
"2013Q1",11692896,".."
"2013Q2",6939122,".."
"2013Q3",5332277,".."
"2013Q4",6788388,".."
"2014Q1",11341998,".."
"2014Q2",6798740,".."
"2014Q3",5365256,".."
"2014Q4",6916933,".."
"2015Q1",11296360,".."
"2015Q2",7281577,".."
"2015Q3",5567227,".."
"2015Q4",7549662,".."
"2016Q1",10162383,".."
"2016Q2",7015103,".."
"2016Q3",4831539,".."
"2016Q4",6448388,".."
"2017Q1",10272858,".."
"2017Q2",6543389,".."
"2017Q3",4834396,".."
"2017Q4",7409463,".."
"2018Q1",9554243,".."
"2018Q2",7342877,".."
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Source: Ministry for Primary Industries."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"LSS026AA"
""
"Last updated:"
"Total Above Livestock Excluding Game: 31 July 2018 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
